DateTime,Average,WWJ-131a A,WWJ-131a B,Burr Ridge A,Burr Ridge B,pm avg
2026-07-12 17:00:00,,24.2,25.1,10.3,10.3,24.65
2026-07-12 18:00:00,,25.2,25.8,10.6,10.3,25.5
2026-07-12 19:00:00,,26.4,27.0,10.9,11.0,26.7
2026-07-12 20:00:00,,27.4,28.0,11.0,11.0,27.7
2026-07-12 21:00:00,,29.3,29.8,11.3,11.2,29.55
2026-07-12 22:00:00,,30.9,31.2,11.5,11.3,31.049999999999997
2026-07-12 23:00:00,,32.2,32.7,11.8,11.7,32.45
2026-07-13 00:00:00,,32.0,32.5,12.3,12.0,32.25
2026-07-13 01:00:00,,32.2,32.6,12.7,12.3,32.400000000000006
2026-07-13 02:00:00,,33.2,33.9,12.7,12.7,33.55
2026-07-13 03:00:00,,33.4,34.0,13.2,12.9,33.7
2026-07-13 04:00:00,,33.4,33.8,13.3,13.1,33.599999999999994
2026-07-13 05:00:00,,33.7,34.2,13.3,13.1,33.95
2026-07-13 06:00:00,,35.2,35.7,13.3,13.1,35.45
2026-07-13 07:00:00,,32.4,33.1,13.4,13.0,32.75
2026-07-13 08:00:00,,30.3,30.8,12.2,12.2,30.55
2026-07-13 09:00:00,,30.8,31.5,12.4,12.2,31.15
2026-07-13 10:00:00,,30.1,30.8,12.3,12.2,30.450000000000003
2026-07-13 11:00:00,,23.2,23.8,12.4,12.2,23.5
2026-07-13 12:00:00,,19.9,19.9,12.8,12.8,19.9
2026-07-13 13:00:00,,21.4,22.4,12.8,12.5,21.9
2026-07-13 14:00:00,,22.0,23.1,12.8,12.7,22.55
2026-07-13 15:00:00,,20.7,21.9,12.9,12.7,21.299999999999997
2026-07-13 16:00:00,,22.0,22.7,8.3,8.1,22.35
2026-07-13 17:00:00,,22.2,22.4,4.0,4.0,22.299999999999997
2026-07-13 18:00:00,,20.7,21.1,2.0,2.0,20.9
2026-07-13 19:00:00,,20.4,20.5,1.1,1.0,20.45
2026-07-13 20:00:00,,22.8,22.8,0.4,0.3,22.8
2026-07-13 21:00:00,,23.4,24.0,0.4,0.3,23.7
2026-07-13 22:00:00,,24.7,24.8,1.4,1.4,24.75
2026-07-13 23:00:00,,25.9,26.3,2.3,2.4,26.1
2026-07-14 00:00:00,,27.7,28.3,2.8,2.8,28.0
2026-07-14 01:00:00,,29.0,29.2,3.1,3.0,29.1
2026-07-14 02:00:00,,29.0,29.5,3.5,3.3,29.25
2026-07-14 03:00:00,,29.7,29.6,3.7,3.8,29.65
2026-07-14 04:00:00,,29.6,29.6,3.7,3.8,29.6
2026-07-14 05:00:00,,30.1,30.1,3.7,3.6,30.1
2026-07-14 06:00:00,,30.0,30.1,3.3,3.3,30.05
2026-07-14 07:00:00,,25.9,26.5,3.6,3.6,26.2
2026-07-14 08:00:00,,21.0,21.7,4.9,4.7,21.35
2026-07-14 09:00:00,,19.9,20.6,5.1,5.3,20.25
2026-07-14 10:00:00,,18.8,19.6,5.4,5.3,19.200000000000003
2026-07-14 11:00:00,,19.0,19.9,5.7,5.6,19.45
2026-07-14 12:00:00,,18.2,19.1,6.0,6.0,18.65
2026-07-14 13:00:00,,18.8,19.0,9.9,9.4,18.9
2026-07-14 14:00:00,,18.4,18.3,10.3,10.1,18.35
2026-07-14 15:00:00,,18.8,19.0,9.9,9.7,18.9
2026-07-14 16:00:00,,18.2,19.0,4.0,4.0,18.6
2026-07-14 17:00:00,,17.9,18.7,3.0,3.0,18.299999999999997
2026-07-14 18:00:00,,18.3,18.3,1.5,1.5,18.3
2026-07-14 19:00:00,,17.6,17.7,1.2,1.0,17.65
2026-07-14 20:00:00,,17.4,17.6,1.0,1.0,17.5
2026-07-14 21:00:00,,18.8,19.0,1.6,1.6,18.9
2026-07-14 22:00:00,,19.5,19.7,1.7,1.8,19.6
2026-07-14 23:00:00,,20.1,20.1,1.9,2.0,20.1
2026-07-15 00:00:00,,20.6,20.6,2.1,2.0,20.6
2026-07-15 01:00:00,,21.8,21.8,2.1,2.1,21.8
2026-07-15 02:00:00,,22.4,22.6,2.3,2.2,22.5
2026-07-15 03:00:00,,23.6,23.7,2.1,2.0,23.65
2026-07-15 04:00:00,,24.2,24.0,2.4,2.2,24.1
2026-07-15 05:00:00,,24.8,24.7,2.3,2.1,24.75
2026-07-15 06:00:00,,24.4,24.4,2.4,2.1,24.4
2026-07-15 07:00:00,,20.3,20.7,2.5,2.5,20.5
2026-07-15 08:00:00,,17.1,17.5,2.9,2.9,17.3
2026-07-15 09:00:00,,14.4,14.4,3.3,3.2,14.4
2026-07-15 10:00:00,,13.4,14.0,4.4,4.2,13.7
2026-07-15 11:00:00,,12.2,12.5,4.3,4.3,12.35
2026-07-15 12:00:00,,12.4,12.4,4.7,4.5,12.4
2026-07-15 13:00:00,,15.1,14.7,5.0,4.9,14.899999999999999
2026-07-15 14:00:00,,14.8,14.6,4.9,5.1,14.7
2026-07-15 15:00:00,,14.7,15.2,5.0,4.9,14.95
2026-07-15 16:00:00,,12.8,13.8,4.6,4.5,13.3
2026-07-15 17:00:00,,12.1,12.8,2.8,2.8,12.45
2026-07-15 18:00:00,,12.5,12.5,3.0,3.0,12.5
2026-07-15 19:00:00,,12.4,12.8,1.6,1.5,12.600000000000001
2026-07-15 20:00:00,,13.5,13.5,0.9,0.9,13.5
2026-07-15 21:00:00,,15.0,15.0,1.2,1.1,15.0
2026-07-15 22:00:00,,16.4,16.3,1.2,1.1,16.35
2026-07-15 23:00:00,,17.8,17.7,1.1,1.1,17.75
2026-07-16 00:00:00,,18.8,18.8,1.4,1.4,18.8
2026-07-16 01:00:00,,24.0,24.4,1.6,1.5,24.2
2026-07-16 02:00:00,,30.0,30.4,2.1,2.2,30.2
2026-07-16 03:00:00,,32.6,32.7,3.0,2.9,32.650000000000006
2026-07-16 04:00:00,,34.1,34.4,3.4,3.4,34.25
2026-07-16 05:00:00,,35.9,36.2,3.7,3.7,36.05
2026-07-16 06:00:00,,80.1,83.8,7.0,7.0,81.94999999999999
2026-07-16 07:00:00,,160.1,171.0,10.6,10.4,165.55
2026-07-16 08:00:00,,178.7,193.3,15.0,14.7,186.0
2026-07-16 09:00:00,,150.2,163.4,11.1,11.2,156.8
2026-07-16 10:00:00,,165.4,179.7,10.2,10.2,172.55
2026-07-16 11:00:00,,114.4,123.4,12.0,12.1,118.9
2026-07-16 12:00:00,,96.7,103.9,17.0,16.9,100.30000000000001
2026-07-16 13:00:00,,62.3,65.9,14.8,14.7,64.1
2026-07-16 14:00:00,,57.5,61.0,13.2,12.4,59.25
2026-07-16 15:00:00,,56.7,60.9,34.2,32.9,58.8
2026-07-16 16:00:00,,235.0,257.5,34.2,34.1,246.25
2026-07-16 17:00:00,,293.8,319.7,39.9,39.2,306.75
2026-07-16 18:00:00,,246.2,266.2,39.8,39.0,256.2
2026-07-16 19:00:00,,302.1,325.5,57.8,56.9,313.8
2026-07-16 20:00:00,,436.7,472.5,72.6,72.6,454.6
2026-07-16 21:00:00,,443.1,478.6,88.6,88.6,460.85
2026-07-16 22:00:00,,440.0,476.3,121.8,122.4,458.15
2026-07-16 23:00:00,,441.3,479.0,136.8,138.0,460.15
2026-07-17 00:00:00,,449.8,490.2,144.3,145.9,470.0
2026-07-17 01:00:00,,419.8,455.2,144.9,146.7,437.5
2026-07-17 02:00:00,,410.9,445.6,136.1,136.9,428.25
2026-07-17 03:00:00,,396.6,428.4,126.8,128.2,412.5
2026-07-17 04:00:00,,378.1,407.8,118.1,119.6,392.95000000000005
2026-07-17 05:00:00,,366.7,396.0,116.0,117.4,381.35
2026-07-17 06:00:00,,367.1,396.3,103.8,105.1,381.70000000000005
2026-07-17 07:00:00,,313.2,340.1,60.0,60.9,326.65
2026-07-17 08:00:00,,264.9,287.5,54.1,54.5,276.2
2026-07-17 09:00:00,,223.8,241.9,35.4,34.8,232.85000000000002
2026-07-17 10:00:00,,174.2,187.4,25.8,25.1,180.8
2026-07-17 11:00:00,,97.1,102.4,17.6,17.5,99.75
2026-07-17 12:00:00,,54.4,56.8,43.1,42.3,55.599999999999994
2026-07-17 13:00:00,,42.6,44.4,26.9,26.8,43.5
2026-07-17 14:00:00,,41.4,43.1,16.1,16.1,42.25
2026-07-17 15:00:00,,34.3,35.9,13.5,13.3,35.099999999999994
2026-07-17 16:00:00,,24.9,26.2,6.4,6.5,25.549999999999997
2026-07-17 17:00:00,,20.0,20.7,5.6,5.5,20.35
2026-07-17 18:00:00,,19.5,19.9,4.6,4.6,19.7
2026-07-17 19:00:00,,19.1,19.2,1.8,1.8,19.15
2026-07-17 20:00:00,,19.6,19.5,0.8,0.8,19.55
2026-07-17 21:00:00,,20.0,20.3,1.1,1.3,20.15
2026-07-17 22:00:00,,20.9,21.2,1.7,1.6,21.049999999999997
2026-07-17 23:00:00,,22.3,22.3,1.9,1.9,22.3
2026-07-18 00:00:00,,21.9,21.9,2.0,1.9,21.9
2026-07-18 01:00:00,,21.4,21.8,2.1,2.2,21.6
2026-07-18 02:00:00,,21.5,21.8,2.0,2.0,21.65
2026-07-18 03:00:00,,19.8,19.7,2.0,1.9,19.75
2026-07-18 04:00:00,,15.0,15.1,1.9,1.7,15.05
2026-07-18 05:00:00,,12.3,12.5,1.6,1.7,12.4
2026-07-18 06:00:00,,11.0,11.1,1.5,1.5,11.05
2026-07-18 07:00:00,,9.7,9.9,1.4,1.3,9.8
2026-07-18 08:00:00,,7.4,7.6,1.7,1.6,7.5
2026-07-18 09:00:00,,5.6,5.7,2.3,2.2,5.65
2026-07-18 10:00:00,,5.6,5.7,2.2,2.2,5.65
2026-07-18 11:00:00,,6.6,6.7,2.1,2.0,6.65
2026-07-18 12:00:00,,8.6,8.7,2.2,2.1,8.649999999999999
2026-07-18 13:00:00,,10.7,11.0,2.2,2.1,10.85
2026-07-18 14:00:00,,10.6,11.2,2.3,2.1,10.899999999999999
2026-07-18 15:00:00,,18.9,19.8,2.3,2.3,19.35
2026-07-18 16:00:00,,20.2,21.6,2.7,2.6,20.9
2026-07-18 17:00:00,,20.5,21.5,3.1,3.2,21.0
2026-07-18 18:00:00,,38.6,40.2,5.3,5.3,39.400000000000006
2026-07-18 19:00:00,,58.1,61.5,8.8,8.6,59.8
2026-07-18 20:00:00,,79.8,84.9,11.9,11.6,82.35
2026-07-18 21:00:00,,90.4,96.4,12.4,12.5,93.4
2026-07-18 22:00:00,,122.8,130.8,14.6,14.6,126.80000000000001
2026-07-18 23:00:00,,154.7,165.8,20.3,20.3,160.25
2026-07-19 00:00:00,,172.7,184.6,24.9,25.4,178.64999999999998
2026-07-19 01:00:00,,146.1,156.1,28.4,29.0,151.1
2026-07-19 02:00:00,,115.1,122.1,30.1,29.8,118.6
2026-07-19 03:00:00,,85.8,90.9,28.7,28.7,88.35
2026-07-19 04:00:00,,77.2,81.0,27.4,27.3,79.1
2026-07-19 05:00:00,,75.8,79.5,27.1,27.0,77.65
2026-07-19 06:00:00,,75.0,78.2,26.7,26.7,76.6
2026-07-19 07:00:00,,74.0,78.5,25.4,25.1,76.25
2026-07-19 08:00:00,,76.1,81.6,34.7,35.2,78.85
2026-07-19 09:00:00,,73.0,77.1,30.5,30.4,75.05
2026-07-19 10:00:00,,68.5,73.1,32.1,31.5,70.8
2026-07-19 11:00:00,,61.5,65.3,27.9,27.6,63.4
2026-07-19 12:00:00,,54.1,56.7,21.9,21.5,55.400000000000006
2026-07-19 13:00:00,,52.0,53.9,25.1,24.4,52.95
2026-07-19 14:00:00,,50.1,51.5,27.3,26.8,50.8
2026-07-19 15:00:00,,50.1,51.6,27.9,27.3,50.85
2026-07-19 16:00:00,,52.4,54.9,25.3,25.0,53.65
2026-07-19 17:00:00,,56.0,59.5,23.0,22.6,57.75
2026-07-19 18:00:00,,59.8,63.6,26.8,26.5,61.7
2026-07-19 19:00:00,,63.4,67.3,20.2,19.8,65.35
2026-07-19 20:00:00,,62.6,66.2,15.7,15.7,64.4
2026-07-19 21:00:00,,63.9,67.3,19.1,19.1,65.6
2026-07-19 22:00:00,,71.9,75.8,22.9,22.9,73.85
2026-07-19 23:00:00,,74.1,77.4,25.9,25.9,75.75
2026-07-20 00:00:00,,73.8,77.3,28.3,27.9,75.55
2026-07-20 01:00:00,,72.0,75.4,30.8,31.3,73.7
2026-07-20 02:00:00,,70.0,73.5,33.3,33.3,71.75
2026-07-20 03:00:00,,68.5,72.4,35.0,34.8,70.45
2026-07-20 04:00:00,,68.7,72.1,36.8,37.2,70.4
2026-07-20 05:00:00,,69.2,72.5,38.3,38.7,70.85
2026-07-20 06:00:00,,69.0,72.1,40.6,41.4,70.55
2026-07-20 07:00:00,,66.4,69.9,35.9,35.8,68.15
2026-07-20 08:00:00,,55.8,59.2,34.2,34.0,57.5
2026-07-20 09:00:00,,52.1,54.4,33.4,33.5,53.25
2026-07-20 10:00:00,,52.8,55.6,28.6,28.4,54.2
2026-07-20 11:00:00,,53.5,56.8,21.5,21.4,55.15
2026-07-20 12:00:00,,55.6,58.9,22.9,22.7,57.25
2026-07-20 13:00:00,,56.8,60.5,29.6,29.5,58.65
2026-07-20 14:00:00,,57.7,61.2,31.9,31.7,59.45
2026-07-20 15:00:00,,59.5,62.8,35.4,35.0,61.15
2026-07-20 16:00:00,,62.3,66.4,31.5,31.0,64.35
2026-07-20 17:00:00,,62.2,65.8,26.3,26.2,64.0
2026-07-20 18:00:00,,62.9,66.7,30.1,29.7,64.8
2026-07-20 19:00:00,,59.4,63.1,31.4,31.2,61.25
2026-07-20 20:00:00,,55.9,59.4,29.7,29.8,57.65
2026-07-20 21:00:00,,58.2,61.7,20.2,20.1,59.95
2026-07-20 22:00:00,,58.8,62.6,15.5,15.2,60.7
2026-07-20 23:00:00,,55.3,58.0,16.1,15.7,56.65
2026-07-21 00:00:00,,49.6,50.9,15.3,15.4,50.25
2026-07-21 01:00:00,,42.4,43.7,14.0,13.8,43.05
2026-07-21 02:00:00,,32.2,33.5,12.4,12.0,32.85
2026-07-21 03:00:00,,16.6,17.4,10.7,10.7,17.0
2026-07-21 04:00:00,,7.5,7.5,9.4,9.4,7.5
2026-07-21 05:00:00,,6.8,7.0,7.9,8.0,6.9
2026-07-21 06:00:00,,7.3,7.3,6.1,6.0,7.3
2026-07-21 07:00:00,,8.7,8.8,5.7,5.5,8.75
2026-07-21 08:00:00,,11.2,11.4,5.2,5.2,11.3
2026-07-21 09:00:00,,16.8,18.1,5.1,5.0,17.450000000000003
2026-07-21 10:00:00,,23.9,24.5,5.1,4.8,24.2
2026-07-21 11:00:00,,25.8,26.9,5.3,5.1,26.35
2026-07-21 12:00:00,,25.4,27.1,6.3,6.2,26.25
2026-07-21 13:00:00,,24.0,24.9,7.6,7.3,24.45
2026-07-21 14:00:00,,18.7,19.1,8.0,7.9,18.9
2026-07-21 15:00:00,,16.2,16.4,8.1,7.7,16.299999999999997
2026-07-21 16:00:00,,14.7,15.2,8.1,7.4,14.95
2026-07-21 17:00:00,,14.4,14.7,7.0,6.7,14.55
2026-07-21 18:00:00,,11.8,12.0,4.4,4.4,11.9
2026-07-21 19:00:00,,11.8,12.2,3.2,3.1,12.0
2026-07-21 20:00:00,,9.1,9.3,2.1,2.1,9.2
2026-07-21 21:00:00,,3.5,3.5,1.2,1.1,3.5
2026-07-21 22:00:00,,4.6,4.8,0.7,0.6,4.699999999999999
2026-07-21 23:00:00,,5.3,5.5,0.4,0.6,5.4
2026-07-22 00:00:00,,3.0,3.1,0.5,0.5,3.05
2026-07-22 01:00:00,,1.5,1.4,0.2,0.3,1.45
2026-07-22 02:00:00,,1.1,1.1,0.1,0.1,1.1
2026-07-22 03:00:00,,0.8,0.7,0.0,0.0,0.75
2026-07-22 04:00:00,,0.9,0.8,0.0,0.0,0.8500000000000001
2026-07-22 05:00:00,,1.6,1.6,0.0,0.0,1.6
2026-07-22 06:00:00,,1.6,1.6,0.0,0.0,1.6
2026-07-22 07:00:00,,1.1,1.1,0.2,0.2,1.1
2026-07-22 08:00:00,,0.9,1.0,0.7,0.7,0.95
2026-07-22 09:00:00,,1.1,1.1,0.9,0.8,1.1
2026-07-22 10:00:00,,1.1,1.1,1.0,1.1,1.1
2026-07-22 11:00:00,,1.6,1.6,1.5,1.6,1.6
2026-07-22 12:00:00,,2.5,2.5,2.5,2.4,2.5
2026-07-22 13:00:00,,3.6,3.6,3.6,3.6,3.6
2026-07-22 14:00:00,,3.9,4.1,3.8,3.8,4.0
2026-07-22 15:00:00,,4.2,4.3,4.0,4.0,4.25
2026-07-22 16:00:00,,3.9,3.9,4.1,4.1,3.9
2026-07-22 17:00:00,,4.4,4.4,4.6,4.6,4.4
2026-07-22 18:00:00,,4.3,4.5,4.8,4.9,4.4
2026-07-22 19:00:00,,4.7,4.8,4.3,4.4,4.75
2026-07-22 20:00:00,,5.7,5.7,5.6,5.3,5.7
2026-07-22 21:00:00,,8.7,8.7,6.4,6.4,8.7
2026-07-22 22:00:00,,10.2,10.1,6.4,6.3,10.149999999999999
2026-07-22 23:00:00,,9.1,8.9,6.7,6.6,9.0
2026-07-23 00:00:00,,9.9,9.8,7.2,7.1,9.850000000000001
2026-07-23 01:00:00,,11.3,10.9,7.3,7.4,11.100000000000001
2026-07-23 02:00:00,,11.4,11.1,7.8,7.6,11.25
2026-07-23 03:00:00,,11.5,11.4,8.9,8.8,11.45
2026-07-23 04:00:00,,11.3,10.9,11.3,11.1,11.100000000000001
2026-07-23 05:00:00,,12.3,12.4,11.1,10.9,12.350000000000001
2026-07-23 06:00:00,,12.8,12.8,10.5,10.2,12.8
2026-07-23 07:00:00,,9.9,10.0,9.4,9.3,9.95
2026-07-23 08:00:00,,6.5,6.6,8.2,8.1,6.55
2026-07-23 09:00:00,,4.6,4.7,6.9,6.9,4.65
2026-07-23 10:00:00,,5.3,5.5,6.3,6.2,5.4
2026-07-23 11:00:00,,5.3,5.4,6.4,6.2,5.35
2026-07-23 12:00:00,,5.9,6.1,6.4,6.3,6.0
2026-07-23 13:00:00,,6.7,6.8,7.0,6.6,6.75
2026-07-23 14:00:00,,7.3,7.4,7.8,7.6,7.35
2026-07-23 15:00:00,,8.0,8.0,7.8,7.5,8.0
2026-07-23 16:00:00,,7.9,7.9,8.0,7.8,7.9
2026-07-23 17:00:00,,8.1,8.0,8.4,8.2,8.05
2026-07-23 18:00:00,,8.5,8.4,9.7,9.2,8.45
2026-07-23 19:00:00,,10.2,10.2,11.0,10.5,10.2
2026-07-23 20:00:00,,11.8,11.6,5.9,5.6,11.7
2026-07-23 21:00:00,,13.8,13.7,4.8,4.7,13.75
2026-07-23 22:00:00,,14.1,13.8,4.6,4.6,13.95
2026-07-23 23:00:00,,12.0,11.7,4.4,4.3,11.85
2026-07-24 00:00:00,,13.5,13.5,4.4,4.5,13.5
2026-07-24 01:00:00,,15.1,14.8,4.2,4.3,14.95
2026-07-24 02:00:00,,17.0,16.8,4.0,4.1,16.9
2026-07-24 03:00:00,,17.7,17.5,4.0,4.0,17.6
2026-07-24 04:00:00,,17.0,16.6,4.0,4.0,16.8
2026-07-24 05:00:00,,16.9,16.5,4.1,4.0,16.7
2026-07-24 06:00:00,,15.5,15.5,4.2,4.1,15.5
2026-07-24 07:00:00,,11.2,11.4,3.8,3.8,11.3
2026-07-24 08:00:00,,10.3,10.2,3.8,3.6,10.25
2026-07-24 09:00:00,,9.7,9.9,4.2,4.0,9.8
2026-07-24 10:00:00,,9.4,9.2,4.4,4.3,9.3
2026-07-24 11:00:00,,7.6,7.5,4.5,4.4,7.55
2026-07-24 12:00:00,,6.7,6.7,4.3,4.4,6.7
2026-07-24 13:00:00,,7.1,7.1,4.2,4.2,7.1
2026-07-24 14:00:00,,7.1,7.0,4.2,4.2,7.05
2026-07-24 15:00:00,,7.3,7.2,4.7,4.7,7.25
2026-07-24 16:00:00,,8.4,8.4,4.8,4.8,8.4
2026-07-24 17:00:00,,8.3,8.3,5.0,5.0,8.3
2026-07-24 18:00:00,,8.7,8.6,6.1,6.0,8.649999999999999
2026-07-24 19:00:00,,8.7,8.6,5.8,5.7,8.649999999999999
2026-07-24 20:00:00,,9.0,8.7,5.4,5.2,8.85
2026-07-24 21:00:00,,19.1,19.0,4.2,4.0,19.05
2026-07-24 22:00:00,,19.8,19.7,3.3,3.3,19.75
2026-07-24 23:00:00,,22.0,21.6,3.2,3.3,21.8
2026-07-25 00:00:00,,24.9,24.8,3.0,3.1,24.85
2026-07-25 01:00:00,,21.5,21.0,2.8,2.8,21.25
2026-07-25 02:00:00,,19.6,19.5,2.6,2.6,19.55
2026-07-25 03:00:00,,19.4,19.1,2.7,2.7,19.25
2026-07-25 04:00:00,,17.6,17.3,2.7,2.8,17.450000000000003
2026-07-25 05:00:00,,16.8,16.3,2.9,2.9,16.55
2026-07-25 06:00:00,,14.6,14.5,3.0,2.9,14.55
2026-07-25 07:00:00,,13.9,13.7,3.0,3.0,13.8
2026-07-25 08:00:00,,13.0,12.9,2.9,2.7,12.95
2026-07-25 09:00:00,,11.2,11.3,3.0,2.8,11.25
2026-07-25 10:00:00,37.2,12.8,12.9,2.8,2.8,12.850000000000001
